�PID = 174, Lat = -33.96, Lng = 18.41, Alt = 1115.00, Dist = 122.03 km, RSSI = -111.50, SNR = -3.50, CBR = 3400.60 bps
�PID = 175, Lat = -33.96, Lng = 18.41, Alt = 1115.00, Dist = 122.03 km, RSSI = -112.25, SNR = -2.25, CBR = 3201.19 bps
�PID = 176, Lat = -33.96, Lng = 18.41, Alt = 1115.00, Dist = 122.03 km, RSSI = -112.50, SNR = -3.50, CBR = 3006.98 bps
�PID = 177, Lat = -33.96, Lng = 18.41, Alt = 1115.00, Dist = 122.03 km, RSSI = -112.00, SNR = -2.00, CBR = 2852.10 bps
�PID = 178, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.25, SNR = -3.25, CBR = 2711.44 bps
�PID = 179, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.75, SNR = -2.75, CBR = 2583.14 bps
�PID = 180, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.50, SNR = -3.50, CBR = 2468.16 bps
�PID = 181, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -114.00, SNR = -5.00, CBR = 2362.55 bps
�PID = 182, Lat = -33.96, Lng = .03 km, RSSI = -113.25, SNR = -418.41, Alt = 1116.00, Dist = 122.25, CBR = 2265.21 bps
�PID = 183, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -111.75, SNR = -2.75, CBR = 2165.48 bps
�PID = 184, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.25, SNR = -3.25, CBR = 2083.42 bps
�PID = 185, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.25, SNR = -3.25, CBR = 2005.48 bps
�PID = 186, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -113.00, SNR = -4.00, CBR = 2009.12 bps
�PID = 187, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -111.75, SNR = -2.75, CBR = 2011.10 bps
�PID = 188, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -109.00, SNR = -2.00, CBR = 2014.97 bps
�PID = 189, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -109.25, SNR = -1.25, CBR = 2019.28 bps
�PID = 190, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -108.00, SNR = -1.00, CBR = 2022.01 bps
�PID = 191, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -109.00, SNR = -1.00, CBR = 2024.66 bps
�PID = 192, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -109.00, SNR = -1.00, CBR = 2032.51 bps
�PID = 193, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -109.50, SNR = -1.50, CBR = 2036.89 bps
�PID = 194, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -109.75, SNR = -1.75, CBR = 2035.29 bps
�PID = 195, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -108.25, SNR = -1.25, CBR = 2036.14 bps
�PID = 196, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -108.25, SNR = -0.25, CBR = 2037.21 bps
�PID = 197, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -109.00, SNR = 0.00, CBR = 2032.94 bps
�PID = 198, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -109.00, SNR = 0.00, CBR = 2034.65 bps
�PID = 199, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -107.75, SNR = -0.75, CBR = 2035.82 bps
�PID = 200, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -108.00, SNR = 0.25, CBR = 2036.57 bps
�PID = 201, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -110.00, SNR = -2.00, CBR = 2037.21 bps
�PID = 202, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -108.50, SNR = -0.50, CBR = 2036.89 bps
�PID = 203, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -111.25, SNR = -2.25, CBR = 2037.75 bps
�PID = 204, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -109.00, SNR = 0.25, CBR = 2040.32 bps
	Code: 6
	Message: CRC mismatch when trying to receive radio data
�PID = 205, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.00, SNR = -2.00, CBR = 2039.79 bps
�PID = 206, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.75, SNR = -4.75, CBR = 2041.29 bps
�PID = 207, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -116.00, SNR = -6.00, CBR = 2066.43 bps
�PID = 208, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -110.75, SNR = -1.75, CBR = 2149.87 bps
�PID = 209, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -108.00, SNR = 0.00, CBR = 2236.45 bps
�PID = 210, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -108.00, SNR = 0.50, CBR = 2331.71 bps
�PID = 211, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -108.25, SNR = -1.25, CBR = 2429.94 bps
�PID = 212, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -108.50, SNR = -0.50, CBR = 2534.82 bps
�PID = 213, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -110.75, SNR = -1.75, CBR = 2660.99 bps
�PID = 214, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -110.00, SNR = -1.00, CBR = 2793.51 bps
�PID = 215, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -109.75, SNR = -1.75, CBR = 2958.33 bps
�PID = 216, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -110.00, SNR = -1.00, CBR = 3136.68 bps
�PID = 217, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -111.00, SNR = -2.00, CBR = 3317.64 bps
�PID = 218, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.00, SNR = -3.00, CBR = 3531.02 bps
�PID = 219, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -110.75, SNR = -1.75, CBR = 3770.43 bps
�PID = 220, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -111.75, SNR = -2.75, CBR = 4046.35 bps
�PID = 221, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.00, SNR = -3.00, CBR = 4369.29 bps
�PID = 222, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.50, SNR = -2.50, CBR = 4791.10 bps
�PID = 223, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.75, SNR = -3.75, CBR = 5242.09 bps
�PID = 224, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -111.50, SNR = -3.50, CBR = 5794.59 bps
�PID = 225, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.75, SNR = -3.75, CBR = 6478.36 bps
�PID = 226, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -110.50, SNR = -2.50, CBR = 6998.92 bps
�PID = 227, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.00, SNR = -3.00, CBR = 6952.47 bps
�PID = 228, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -113.00, SNR = -4.00, CBR = 6961.21 bps
�PID = 229, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.50, SNR = -3.50, CBR = 7066.54 bps
�PID = 230, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -113.50, SNR = -3.50, CBR = 7089.81 bps
�PID = 231, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.75, SNR = -2.75, CBR = 7131.55 bps
�PID = 232, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -113.00, SNR = -4.00, CBR = 7146.02 bps
�PID = 233, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.25, SNR = -4.25, CBR = 7146.02 bps
�PID = 234, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.50, SNR = -2.50, CBR = 7039.59 bps
�PID = 235, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -113.50, SNR = -3.50, CBR = 7037.04 bps
�PID = 236, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.50, SNR = -2.50, CBR = 7047.27 bps
�PID = 237, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -113.25, SNR = -4.25, CBR = 7025.56 bps
�PID = 238, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -113.75, SNR = -3.75, CBR = 7024.28 bps
�PID = 239, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -113.75, SNR = -3.75, CBR = 7130.24 bps
�PID = 240, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.75, SNR = -3.75, CBR = 7128.93 bps
�PID = 241, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -113.00, SNR = -3.00, CBR = 7020.47 bps
�PID = 242, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.00, SNR = -3.00, CBR = 7020.47 bps
�PID = 243, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -110.75, SNR = -2.75, CBR = 7016.65 bps
�PID = 244, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -111.50, SNR = -2.50, CBR = 7007.77 bps
�PID = 245, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.00, SNR = -4.00, CBR = 7034.48 bps
�PID = 246, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -111.75, SNR = -1.75, CBR = 7143.38 bps
�PID = 247, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -111.50, SNR = -3.50, CBR = 7143.38 bps
�PID = 248, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.25, SNR = -4.25, CBR = 7037.04 bps
�PID = 249, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.50, SNR = -3.50, CBR = 6996.39 bps
�PID = 250, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.25, SNR = -3.25, CBR = 6993.87 bps
�PID = 251, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -111.75, SNR = -3.75, CBR = 6978.75 bps
�PID = 252, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -111.50, SNR = -2.50, CBR = 6978.75 bps
�PID = 253, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -111.50, SNR = -3.50, CBR = 7083.33 bps
�PID = 254, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -113.25, SNR = -3.25, CBR = 7082.04 bps
�PID = 255, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -112.75, SNR = -3.75, CBR = 7083.33 bps
�PID = 256, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122.03 km, RSSI = -111.00, SNR = -3.00, CBR = 7084.63 bps
