PID = 257, Lat = -33.96, Lng = 18.41, Alt = 1116.00, Dist = 122PID = 320, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.75, SNR = -3.75, CBR = 7173.79 bps
PID = 321, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.25, SNR = -4.25, CBR = 7130.24 bps
PID = 322, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.50, SNR = -3.50, CBR = 7128.93 bps
PID = 323, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.25, SNR = -3.25, CBR = 7238.10 bps
PID = 324, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -115.00, SNR = -5.00, CBR = 7139.44 bps
PID = 325, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.00, SNR = -4.00, CBR = 7139.44 bps
PID = 326, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.75, SNR = -2.75, CBR = 7157.89 bps
PID = 327, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -111.75, SNR = -1.75, CBR = 7155.25 bps
PID = 328, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.50, SNR = -2.50, CBR = 7047.27 bps
PID = 329, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.25, SNR = -3.25, CBR = 7049.84 bps
PID = 330, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.25, SNR = -5.25, CBR = 7156.57 bps
PID = 331, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -112.25, SNR = -3.25, CBR = 7160.54 bps
PID = 332, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -115.00, SNR = -5.00, CBR = 7160.54 bps
PID = 333, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.75, SNR = -3.75, CBR = 7165.83 bps
PID = 334, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -116.00, SNR = -5.00, CBR = 7163.19 bps
PID = 335, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.50, SNR = -3.50, CBR = 7054.97 bps
PID = 336, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.50, SNR = -3.50, CBR = 7057.54 bps
PID = 337, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.00, SNR = -3.00, CBR = 7161.86 bps
PID = 338, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.75, SNR = -3.75, CBR = 7149.97 bps
PID = 339, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -113.00, SNR = -3.00, CBR = 7151.29 bps
PID = 340, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.00, SNR = -4.00, CBR = 7173.79 bps
PID = 341, Lat = -33.96, Lng = 18.41, Alt = 1117.00, Dist = 122.03 km, RSSI = -114.75, SNR = -3.75, CBR = 7171.14 bps
