�PID = 405, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -119.50, SNR = -8.50, CBR = 2477.94 bps
�PID = 406, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -120.50, SNR = -7.50, CBR = 2372.67 bps
�PID = 407, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -122.25, SNR = -10.25, CBR = 2277.45 bps
�PID = 408, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -121.50, SNR = -9.50, CBR = 2187.11 bps
�PID = 409, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -120.75, SNR = -7.75, CBR = 2104.81 bps
�PID = 410, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -120.50, SNR = -8.50, CBR = 2027.41 bps
�PID = 411, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -122.75, SNR = -9.75, CBR = 1956.39 bps
�PID = 412, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -121.50, SNR = -11.50, CBR = 1887.78 bps
�PID = 413, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -120.50, SNR = -10.50, CBR = 1826.66 bps
�PID = 414, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -121.50, SNR = -8.50, CBR = 1763.58 bps
�PID = 415, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -120.25, SNR = -8.25, CBR = 1709.67 bps
�PID = 416, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -121.25, SNR = -8.25, CBR = 1659.32 bps
�PID = 417, Lat = -33.96, Lng = 18.40, Alt = 1111.00, Dist = 71.03 km, RSSI = -122.75, SNR = -9.75, CBR = 1611.58 bps
