"#","Reference","Qty","Value","Footprint","DNP"
"1","C1","1","1uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"2","C2","1","4.7uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"3","C4, C5, C8, C9","4","100nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"4","C6","1","10uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"5","C10","1","22uF","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",""
"6","J1","1","Conn_02x10_PQSU","Connector_PinSocket_2.54mm:PinSocket_2x10_P2.54mm_Vertical",""
"7","J2","1","Conn_01x10","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical",""
"8","J3","1","Conn_Coaxial","Connector_Coaxial:U.FL_Molex_MCRF_73412-0110_Vertical",""
"9","R3, R4","2","1.2k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"10","U1","1","ATMEGA328P-AU","Package_QFP:TQFP-32_7x7mm_P0.8mm",""
"11","U2","1","Ai-Thinker-Ra-02","RF_Module:Ai-Thinker-Ra-01-LoRa",""
"12","U3","1","ATGM332D-5N31","LIB_ATGM332D-5N31:ATGM332D5N31",""
"13","U4","1","MAX485E","MAX485:SO08",""
"14","Y1","1","Crystal","Crystal:Crystal_SMD_HC49-SD",""
