 -------------------------------|-------------------------------
 Parameter                      | Value                         
 -------------------------------|-------------------------------
 Elevation                      | 19.32 degrees                 
 Azimuth                        | 307.14 degrees                
 Distance                       | 75.08 km                      
WARNING The polarization angle is inaccurate for non-geostationary satellites
 Polarizationa angle            | -0.91 degrees                 
 Rx dish inferred diameter      | 0.93 m                        
 Rx dish gain                   | 10.00 dB                      
 Rx dish effective aperture     | 38.15 dm2                     
 EIRP                           | 12.00 dBW                     
 Path loss                      | 122.69 dB                     
 Rain attenuation @ 1%          | 0.00 dB                       
 Cloud attenuation @ 1%         | 0.00 dB                       
 Gaseous attenuation @ 1%       | 0.03 dB                       
 Tropo. scintillation @ 1%      | 0.07 dB                       
 Total atmospheric loss         | 0.10 dB                       
 Coax loss                      | 0.12 dB                       
 Coax noise figure              | 0.12 dB                       
 LNB noise figure               | 0.60 dB                       
 Rx noise figure                | 0.60 dB                       
 Input-noise temperature        | 42.98 K                       
 Antenna noise temperature      | 6.19 K                        
 System noise temperature       | 49.18 K (16.92 dBK)           
 Rx flux density                | -96.60 dBW/m2                 
 Rx Power (LNB Input)           | -70.79 dBm                    
 IF Power (LNB Output)          | -30.79 dBm                    
 Noise Power                    | -121.68 dBm                   
 Rx signal PSD                  | -130.79 dBm/Hz                
 Noise PSD                      | -181.68 dBm/Hz                
 G/T                            | -6.92 dB/K                    
 C/N                            | 50.89 dB                      
 Capacity                       | 16.91 Mbps                    
