!CSV A.01.01
!Keysight Technologies,N5242A,MY53222371,A.10.65.16
!Date: Friday, October 20, 2023 11:04:32
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
100000000,-0.42449361,-64.158607
100600000,-0.42548442,-64.515503
101200000,-0.42708129,-64.88224
101800000,-0.43108067,-65.263268
102400000,-0.43232736,-65.628944
103000000,-0.43416929,-66.034462
103600000,-0.43851969,-66.413803
104200000,-0.43945915,-66.803833
104800000,-0.44330791,-67.182365
105400000,-0.4444952,-67.586601
106000000,-0.44946754,-67.982475
106600000,-0.45792556,-68.385696
107200000,-0.46008316,-68.778
107800000,-0.4680877,-69.184875
108400000,-0.47115171,-69.517342
109000000,-0.48110282,-69.924637
109600000,-0.49045217,-70.248306
110200000,-0.49239725,-70.611465
110800000,-0.50075418,-70.902863
111400000,-0.49063438,-71.289558
112000000,-0.48489359,-71.619339
112600000,-0.48881793,-72.007759
113200000,-0.48095658,-72.392792
113800000,-0.47891235,-72.78138
114400000,-0.48029345,-73.196838
115000000,-0.47755823,-73.584404
115600000,-0.48223546,-74.031807
116200000,-0.48383492,-74.431129
116800000,-0.48520854,-74.832428
117400000,-0.49664557,-75.249352
118000000,-0.49401987,-75.653687
118600000,-0.49927679,-76.018608
119200000,-0.50777632,-76.405838
119800000,-0.50511974,-76.813995
120400000,-0.5102843,-77.238403
121000000,-0.51169014,-77.609528
121600000,-0.51147461,-78.005814
122200000,-0.52000195,-78.412682
122800000,-0.52940053,-78.811653
123400000,-0.52624142,-79.219513
124000000,-0.52421975,-79.617439
124600000,-0.53919804,-80.005165
125200000,-0.5369786,-80.425377
125800000,-0.54263622,-80.815964
126400000,-0.54557759,-81.191071
127000000,-0.54985821,-81.670952
127600000,-0.55793202,-82.074074
128200000,-0.56117952,-82.484947
128800000,-0.56813496,-82.917336
129400000,-0.57803029,-83.297546
130000000,-0.58053458,-83.708382
130600000,-0.58617049,-84.127075
131200000,-0.59327972,-84.498764
131800000,-0.59676546,-84.945343
132400000,-0.60530609,-85.340599
133000000,-0.61730802,-85.769936
133600000,-0.62225652,-86.216644
134200000,-0.62629962,-86.622612
134800000,-0.64068896,-86.992989
135400000,-0.65080279,-87.463867
136000000,-0.66405725,-87.888153
136600000,-0.67189628,-88.284874
137200000,-0.68727541,-88.705551
137800000,-0.69531518,-89.098801
138400000,-0.70926744,-89.510857
139000000,-0.72252488,-89.894936
139600000,-0.73493564,-90.349686
140200000,-0.74934781,-90.791374
140800000,-0.76891291,-91.172424
141400000,-0.77876979,-91.605392
142000000,-0.80193162,-91.966187
142600000,-0.82157212,-92.401199
143200000,-0.84226149,-92.794792
143800000,-0.86787301,-93.167862
144400000,-0.88840431,-93.560867
145000000,-0.91413236,-93.904182
145600000,-0.93315411,-94.266518
146200000,-0.95569235,-94.580368
146800000,-0.98484898,-94.927307
147400000,-1.014098,-95.247253
148000000,-1.0315491,-95.550156
148600000,-1.0588787,-95.829201
149200000,-1.0893807,-96.042664
149800000,-1.1107267,-96.356636
150400000,-1.1370362,-96.516693
151000000,-1.153882,-96.721069
151600000,-1.1618365,-96.928284
152200000,-1.1738379,-97.185173
152800000,-1.1746759,-97.352432
153400000,-1.1865202,-97.506149
154000000,-1.1868582,-97.717529
154600000,-1.18312,-97.930168
155200000,-1.1824697,-98.138847
155800000,-1.1861762,-98.383392
156400000,-1.1824934,-98.606133
157000000,-1.1737096,-98.820274
157600000,-1.1678028,-99.079498
158200000,-1.164609,-99.294548
158800000,-1.1487442,-99.578087
159400000,-1.1289312,-99.809608
160000000,-1.1181936,-100.0728
160600000,-1.1098967,-100.37959
161200000,-1.0999267,-100.75278
161800000,-1.0718026,-101.09106
162400000,-1.0547352,-101.43355
163000000,-1.0390654,-101.76579
163600000,-1.0345131,-102.17532
164200000,-1.0286474,-102.53276
164800000,-1.0121382,-102.90179
165400000,-1.0109918,-103.28361
166000000,-0.99918121,-103.68853
166600000,-0.9873991,-104.05726
167200000,-0.98872393,-104.4295
167800000,-0.97919309,-104.80722
168400000,-0.97583663,-105.24213
169000000,-0.98070532,-105.60799
169600000,-0.96908748,-106.03585
170200000,-0.97596216,-106.42496
170800000,-0.97421587,-106.75334
171400000,-0.97305799,-107.13972
172000000,-0.9679752,-107.53177
172600000,-0.96514302,-107.88094
173200000,-0.95068336,-108.31226
173800000,-0.9455781,-108.68179
174400000,-0.94930428,-109.07138
175000000,-0.94100642,-109.48781
175600000,-0.94202536,-109.86467
176200000,-0.93316394,-110.29588
176800000,-0.93482286,-110.702
177400000,-0.93614233,-111.12653
178000000,-0.93619657,-111.55727
178600000,-0.93595642,-111.88541
179200000,-0.94341505,-112.25323
179800000,-0.94382906,-112.67757
180400000,-0.94586843,-113.10484
181000000,-0.94215697,-113.47148
181600000,-0.94080669,-113.88219
182200000,-0.94843835,-114.23689
182800000,-0.93951851,-114.62426
183400000,-0.9339363,-114.95373
184000000,-0.94317871,-115.44966
184600000,-0.93131655,-115.8907
185200000,-0.94484431,-116.24513
185800000,-0.94967377,-116.66383
186400000,-0.94872051,-117.13599
187000000,-0.94964135,-117.47883
187600000,-0.94888204,-117.82612
188200000,-0.95839465,-118.26105
188800000,-0.95597619,-118.63493
189400000,-0.95898795,-119.09017
190000000,-0.96143103,-119.45591
190600000,-0.96372956,-119.90058
191200000,-0.96616119,-120.25755
191800000,-0.96601921,-120.73863
192400000,-0.97116864,-121.12482
193000000,-0.97267443,-121.51942
193600000,-0.97473913,-121.92477
194200000,-0.98301083,-122.3094
194800000,-0.98951435,-122.73163
195400000,-0.98731554,-123.12801
196000000,-0.99513704,-123.57265
196600000,-0.99989581,-123.91846
197200000,-1.0073509,-124.32088
197800000,-1.0118717,-124.72803
198400000,-1.0071144,-125.14732
