frequency,ohm
4.05000000E+08,2.58334745E+02	
4.06473684E+08,2.62187651E+02	
4.07947368E+08,2.64901989E+02	
4.09421053E+08,2.66547695E+02	
4.10894737E+08,2.67222368E+02	
4.12368421E+08,2.67039514E+02	
4.13842105E+08,2.66124137E+02	
4.15315789E+08,2.64591684E+02	
4.16789474E+08,2.62562431E+02	
4.18263158E+08,2.60140628E+02	
4.19736842E+08,2.57424059E+02	
4.21210526E+08,2.54494663E+02	
4.22684211E+08,2.51423098E+02	
4.24157895E+08,2.48269115E+02	
4.25631579E+08,2.45080191E+02	
4.27105263E+08,2.41896591E+02	
4.28578947E+08,2.38748983E+02	
4.30052632E+08,2.35659917E+02	
4.31526316E+08,2.32649192E+02	
4.33000000E+08,2.29730291E+02	
