frequency,ohm
4.05000000E+08,7.28396478E+01	
4.06473684E+08,7.59210957E+01	
4.07947368E+08,8.01312449E+01	
4.09421053E+08,8.52830240E+01	
4.10894737E+08,9.12024817E+01	
4.12368421E+08,9.77367023E+01	
4.13842105E+08,1.04759540E+02	
4.15315789E+08,1.12165903E+02	
4.16789474E+08,1.19864736E+02	
4.18263158E+08,1.27778219E+02	
4.19736842E+08,1.35839100E+02	
4.21210526E+08,1.43981875E+02	
4.22684211E+08,1.52146938E+02	
4.24157895E+08,1.60272060E+02	
4.25631579E+08,1.68299817E+02	
4.27105263E+08,1.76173572E+02	
4.28578947E+08,1.83835376E+02	
4.30052632E+08,1.91230898E+02	
4.31526316E+08,1.98306045E+02	
4.33000000E+08,2.05013066E+02
