freq,s11
4.00000000E+08,-4.87091740E+00	
4.05263158E+08,-6.09074058E+00	
4.10526316E+08,-7.69729433E+00	
4.15789474E+08,-9.87597186E+00	
4.21052632E+08,-1.30044680E+01	
4.26315789E+08,-1.81319597E+01	
4.31578947E+08,-3.21853581E+01	
4.36842105E+08,-2.29086328E+01	
4.42105263E+08,-1.58104056E+01	
4.47368421E+08,-1.22103852E+01	
4.52631579E+08,-9.88885480E+00	
4.57894737E+08,-8.24163745E+00	
4.63157895E+08,-7.00973230E+00	
4.68421053E+08,-6.05776147E+00	
4.73684211E+08,-5.30399978E+00	
4.78947368E+08,-4.69611022E+00	
4.84210526E+08,-4.19857045E+00	
4.89473684E+08,-3.78616084E+00	
4.94736842E+08,-3.44053385E+00	
5.00000000E+08,-3.14800292E+00	
