rssi,lat,lng
-52.0,-34.0444,18.42931
-56.00,-34.04453,18.42915
-60.00,-34.04465,18.42903
-61.00,-34.04474,18.42889
-85.00,-34.04491,18.42869
-70.00,-34.04491,18.42869
-70.00,-34.04493,18.42870
-78.00,-34.04499,18.42875
-81.00,-34.04504,18.42883
-69.00,-34.04514,18.42875
-70.00,-34.04523,18.42861
-74.00,-34.04533,18.42849
-76.00,-34.04546,18.42844
-72.00,-34.04559,18.42842
-83.00,-34.04580,18.42812
-79.00,-34.04594,18.42791
-87.00,-34.04615,18.42765
-88.00,-34.04633,18.42739
-90.00,-34.04660,18.42719
-86.00,-34.04687,18.42724
-85.00,-34.04706,18.42738
-83.00,-34.04714,18.42751
-84.00,-34.04720,18.42766
-91.00,-34.04741,18.42771
-84.00,-34.04741,18.42794
-82.00,-34.04741,18.42812
-85.00,-34.04739,18.42840
-83.00,-34.04740,18.42867
-82.00,-34.04739,18.42879
-80.00,-34.04737,18.42894
-80.00,-34.04735,18.42919
-80.00,-34.04734,18.42940
-89.00,-34.04735,18.42961
-87.00,-34.04735,18.42983
-90.00,-34.04729,18.42997
-90.00,-34.04719,18.43003 
-93.00,-34.04706,18.43007
-86.00,-34.04694,18.43014
-94.00,-34.04678,18.43035
-86.00,-34.04668,18.43047
-87.00,-34.04655,+18.43058
-83.00,-34.04645,+18.43068
-85.00,-34.04636,+18.43077
-81.00,-34.04605,+18.43099
-85.00,-34.04580,+18.43102
-79.00,-34.04552,+18.43094
-75.00,-34.04528,+18.43071
-74.00,-34.04512,+18.43052  
-80.00,-34.04497,+18.43032
-63.00,-34.04480,+18.43005
-62.00,-34.04476,+18.42975
-49.00,-34.04457,+18.42959
