!CSV A.01.01
!Keysight Technologies,N5242A,MY53222371,A.10.65.16
!Date: Tuesday, October 17, 2023 15:05:21
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG)
100000000,-0.21483794,4.4370527
100600000,-0.19383302,1.4105508
101200000,-0.1771699,-1.3093622
101800000,-0.16064808,-3.8299651
102400000,-0.14673246,-6.1195283
103000000,-0.13351569,-8.2442818
103600000,-0.12213301,-10.196431
104200000,-0.11724155,-12.040137
104800000,-0.11035467,-13.75049
105400000,-0.10344133,-15.388442
106000000,-0.094864324,-16.94528
106600000,-0.087899864,-18.383221
107200000,-0.083253436,-19.820383
107800000,-0.082753152,-21.16991
108400000,-0.073171511,-22.466642
109000000,-0.075259268,-23.720903
109600000,-0.065728568,-24.971395
110200000,-0.068023928,-26.165386
110800000,-0.063815378,-27.299517
111400000,-0.061318714,-28.432814
112000000,-0.058151647,-29.553488
112600000,-0.058769364,-30.659937
113200000,-0.058528036,-31.769062
113800000,-0.054642264,-32.809067
114400000,-0.054807503,-33.88879
115000000,-0.051435187,-34.920872
115600000,-0.050502688,-35.987858
116200000,-0.052863266,-37.01207
116800000,-0.047802921,-38.097202
117400000,-0.048151132,-39.119106
118000000,-0.055021323,-40.191612
118600000,-0.0498215,-41.239555
119200000,-0.051522408,-42.352879
119800000,-0.052865777,-43.419243
120400000,-0.052011218,-44.518753
121000000,-0.055388466,-45.641014
121600000,-0.055842523,-46.776203
122200000,-0.057800595,-47.909664
122800000,-0.060467917,-49.104805
123400000,-0.060862109,-50.309608
124000000,-0.063173629,-51.59407
124600000,-0.066448875,-52.844891
125200000,-0.071175851,-54.16301
125800000,-0.075554676,-55.553123
126400000,-0.076920077,-57.010689
127000000,-0.078351118,-58.503281
127600000,-0.089463539,-60.08482
128200000,-0.094804794,-61.718533
128800000,-0.098562591,-63.444843
129400000,-0.10937206,-65.271812
130000000,-0.11982081,-67.18576
130600000,-0.12759581,-69.229073
131200000,-0.13956499,-71.457008
131800000,-0.15370232,-73.844505
132400000,-0.16965188,-76.453697
133000000,-0.18680447,-79.274704
133600000,-0.20922893,-82.359146
134200000,-0.22909102,-85.757637
134800000,-0.26574782,-89.519943
135400000,-0.2992599,-93.794731
136000000,-0.34814733,-98.569138
136600000,-0.40681201,-104.04057
137200000,-0.47392398,-110.27649
137800000,-0.54798311,-117.52999
138400000,-0.65389317,-125.97657
139000000,-0.77949005,-135.92061
139600000,-0.92253804,-147.5769
140200000,-1.0897394,-161.28116
140800000,-1.2556678,-177.1877
141400000,-1.4039483,164.80692
142000000,-1.4938885,145.22031
142600000,-1.510748,124.88062
143200000,-1.4381551,105.07578
