lat,lng,alt,snr
-33.9887,18.6083,610,39.7
-33.9888,18.6084,613.8,39.7
-33.989,18.6084,618.3,37
-33.9891,18.6085,622.1,38
-33.9891,18.6085,625,38
-33.9892,18.6085,629.7,35.8
-33.9893,18.6085,634.2,36.3
-33.9894,18.6086,638.2,36.3
-33.9894,18.6087,641.8,33.1
-33.9895,18.6087,645.4,35.5
-33.9896,18.6088,650.8,35.5
-33.9898,18.6089,655.6,33.4
-33.9899,18.609,660.5,37
-33.99,18.609,664.9,37
-33.9901,18.6091,668.4,36.5
-33.9902,18.6091,673.8,36.5
-33.9903,18.6091,678.4,37.2
-33.9904,18.6091,682.9,33.5
-33.9904,18.6091,686.8,36.6
-33.9905,18.6092,691.8,39.2
-33.9906,18.6092,696.5,39.2
-33.9907,18.6093,701.1,39.7
-33.9908,18.6093,705.5,40.3
-33.9909,18.6093,709.8,42.9
-33.991,18.6094,714.4,42.9
-33.9911,18.6094,718.5,42
-33.9911,18.6094,724.3,37.2
-33.9914,18.6096,735.4,39.8
-33.9915,18.6096,740,39.8
-33.9916,18.6096,744.6,41.2
-33.9919,18.6097,754.5,41
-33.992,18.6097,760.7,41.6
-33.9921,18.6098,765.4,41.6
-33.9923,18.6099,775.6,38.9
-33.9924,18.6099,780.3,39.5
-33.9926,18.6099,785.8,42.2
-33.9927,18.6099,790.4,42.2
-33.9928,18.6099,797.6,41.2
-33.9929,18.6099,802.1,41.2
-33.993,18.61,807.1,41.2
-33.9931,18.61,812.1,40.7
-33.9932,18.6101,816.8,38.3
-33.9934,18.6101,822.2,40.5
-33.9935,18.6102,827,40.5
-33.9936,18.6102,833.7,40.1
-33.9937,18.6102,839.7,41.2
-33.9938,18.6102,845.4,41.2
-33.9939,18.6103,851.1,40.4
-33.994,18.6103,856.1,40.4
-33.9942,18.6104,861.1,39.3
-33.9943,18.6104,866.5,40.8
-33.9944,18.6105,871.5,42.6
-33.9946,18.6105,876.7,42.6
-33.9949,18.6105,888.5,42.8
-33.995,18.6104,894.1,43.9
-33.9952,18.6104,904.6,42.4
-33.9953,18.6105,909,42.1
-33.9954,18.6105,913.3,39.5
-33.9955,18.6105,921.7,39.7
-33.9957,18.6105,927,42.7
-33.9958,18.6105,932.4,43.4
-33.996,18.6106,943.6,42.7
-33.9962,18.6107,947.5,42.5
-33.9964,18.6108,956.9,42.8
-33.9966,18.6108,963.7,43.8
-33.9967,18.6108,969.5,43.8
-33.9969,18.6108,981.3,41.7
-33.997,18.6108,986.5,41.7
-33.9972,18.6109,990.9,38.9
-33.9973,18.6109,994.5,39.8
-33.9974,18.6108,998.1,39.8
-33.9975,18.6108,1001,39.6
-33.9976,18.6108,1004.3,36.9
-33.9977,18.6109,1008.4,36.9
-33.9978,18.6109,1013,37
-33.9979,18.611,1018.7,38.5
-33.9981,18.611,1024.2,38.5
-33.9982,18.611,1029,37.4
-33.9983,18.611,1033.7,38.9
-33.9985,18.611,1043.2,29.1
-33.9986,18.611,1048,27.9
-33.9987,18.611,1053.3,34.2
-33.999,18.611,1062.6,38.2
-33.9991,18.611,1067.2,39.3
-33.9992,18.611,1070,39.3
-33.9993,18.6111,1073.8,38.7
-33.9994,18.6111,1077.8,39.3
-33.9995,18.6112,1082.1,39.3
-33.9996,18.6112,1086.2,40.7
-33.9997,18.6112,1091,41
-33.9998,18.6112,1096.8,41
-34,18.6112,1102.3,39.3
-34.0002,18.6112,1111.2,40.4
-34.0004,18.6112,1115.1,40.4
-34.0005,18.6113,1120.1,38.8
-34.0006,18.6113,1125.8,39.6
-34.0008,18.6114,1130.5,39.6
-34.0009,18.6114,1134,39.4
-34.001,18.6114,1137.3,39.3
-34.0011,18.6115,1141.4,39.8
-34.0012,18.6115,1146.4,39.8
-34.0013,18.6115,1151.3,40
-34.0014,18.6115,1155.5,40
-34.0015,18.6115,1161.6,40
-34.0016,18.6115,1166.9,40
-34.0018,18.6115,1171.4,39.7
-34.0019,18.6116,1176.2,39
-34.002,18.6116,1180.7,38
-34.0021,18.6116,1186.1,37.2
-34.0022,18.6117,1191.1,37.9
-34.0024,18.6116,1195.2,38.3
-34.0025,18.6116,1198.9,38.3
-34.0026,18.6116,1203,38.9
-34.0027,18.6116,1206.7,38.9
-34.0028,18.6116,1210.6,38.9
-34.0029,18.6117,1215,37.5
-34.003,18.6117,1219,37.7
-34.0032,18.6117,1223.2,38
-34.0033,18.6117,1227.8,40.1
-34.0034,18.6117,1233.1,40.1
-34.0035,18.6117,1237.6,39.6
-34.0036,18.6117,1241.9,38.5
-34.0037,18.6118,1246.6,38.5
-34.0038,18.6118,1252.2,38.3
-34.004,18.6118,1258.3,38.4
-34.0041,18.6118,1263.5,38.4
-34.0042,18.6118,1269.6,38.2
-34.0043,18.6118,1275.1,39.1
-34.0044,18.6118,1280.5,39.1
-34.0045,18.6118,1286.3,38
-34.0046,18.6119,1292.7,37
-34.0048,18.6119,1298.6,37.4
-34.0049,18.6119,1304.7,37.4
-34.0051,18.6119,1310.2,37.3
-34.0052,18.6119,1314.9,38.6
-34.0054,18.6119,1320.8,38.6
-34.0055,18.612,1325.9,38
-34.0056,18.612,1331.5,38.9
-34.0057,18.612,1337.4,38.9
-34.0058,18.612,1342.7,38.5
-34.0059,18.612,1347.4,37.8
-34.006,18.612,1351.7,38.5
-34.0061,18.6121,1356.2,38.5
-34.0062,18.6121,1360.4,37.7
-34.0064,18.6122,1365.2,36.7
-34.0065,18.6122,1370.2,37.6
-34.0066,18.6122,1374.8,37.7
-34.0068,18.6122,1380.2,37.7
-34.0069,18.6122,1386.4,37.7
-34.007,18.6122,1392.2,37.3
-34.0071,18.6122,1396.9,37.4
-34.0072,18.6122,1401.2,37.4
-34.0073,18.6122,1406.2,37.5
-34.0074,18.6123,1411.1,37.5
-34.0075,18.6123,1417.3,37.6
-34.0076,18.6123,1422.3,38.2
-34.0077,18.6123,1426.6,40.1
-34.0078,18.6123,1431.3,40.1
-34.0079,18.6123,1435,38.4
-34.008,18.6123,1438.6,38.4
-34.0081,18.6123,1443.3,37.8
-34.0082,18.6124,1446.9,38.4
-34.0083,18.6124,1451.5,38.4
-34.0084,18.6124,1456,34.3
-34.0085,18.6124,1460.1,34.3
-34.0086,18.6125,1463.8,32.8
-34.0087,18.6125,1467.1,33.3
-34.0088,18.6125,1470.3,35.2
-34.0089,18.6125,1473.4,35.2
-34.009,18.6126,1476.8,35.2
-34.0091,18.6126,1480.1,32.2
-34.0092,18.6126,1484.1,32.2
-34.0093,18.6126,1487.9,24.2
-34.0094,18.6127,1492.2,26.6
-34.0095,18.6127,1496.5,26.6
-34.0097,18.6127,1500.9,33.6
-34.0098,18.6127,1504.4,33.6
-34.0098,18.6127,1508,30.2
-34.0099,18.6128,1511.8,32.2
-34.01,18.6128,1515.5,32.2
-34.0101,18.6128,1519.7,24.2
-34.0102,18.6129,1523.8,31.4
-34.0103,18.6129,1528.8,31.4
-34.0119,18.6134,1597.1,30.6
-34.0119,18.6135,1604.3,34.1
-34.012,18.6135,1612.7,34.1
-34.0121,18.6136,1620.2,33.9
-34.0122,18.6136,1627.5,33.4
-34.0123,18.6137,1633.5,36.5
-34.0125,18.6137,1638.8,36.5
-34.0126,18.6137,1643.8,37
-34.0127,18.6138,1648.3,37
-34.0129,18.6138,1653.4,35.4
-34.013,18.614,1658,35.1
-34.0131,18.614,1662.8,34.2
-34.0132,18.6141,1668.3,35.6
-34.0133,18.6142,1673.5,35.6
-34.0135,18.6143,1678.4,35.6
-34.0136,18.6143,1683.6,38.8
-34.0137,18.6144,1688.9,38.8
-34.0138,18.6144,1694.6,37
-34.0139,18.6145,1699.5,36.9
-34.014,18.6145,1704.7,36.9
-34.0141,18.6146,1709.4,36.1
-34.0142,18.6146,1713.5,36.1
-34.0143,18.6147,1718,35.8
-34.0144,18.6147,1722.9,36.4
-34.0145,18.6148,1727.7,36.4
-34.0146,18.6149,1732.7,35.6
-34.0147,18.615,1736.9,35
-34.0148,18.6151,1741.2,35.7
-34.0149,18.6152,1745.1,35.7
-34.015,18.6152,1749.8,33.7
-34.0151,18.6153,1754.8,34.5
-34.0152,18.6154,1760,35.6
-34.0153,18.6155,1765.6,35.6
-34.0154,18.6156,1771.3,34
-34.0155,18.6156,1776.8,34
-34.0156,18.6157,1781.1,34.3
-34.0157,18.6158,1785.1,34.3
-34.0158,18.6159,1789.6,34.8
-34.0159,18.6159,1793.4,34.8
-34.016,18.616,1797.9,32
-34.0161,18.6161,1801.9,33.8
-34.0162,18.6162,1806.1,33.8
-34.0163,18.6162,1811.7,34.1
-34.0164,18.6163,1817.5,34.7
-34.0165,18.6164,1823.9,34.7
-34.0166,18.6165,1829.9,33.8
-34.0167,18.6166,1835.5,35.2
-34.0168,18.6166,1841,35.2
-34.0169,18.6167,1846.3,34
-34.017,18.6168,1851.5,34
-34.0171,18.6168,1856.6,35.9
-34.0172,18.6169,1862.2,35.9
-34.0172,18.617,1867.7,35.9
-34.0173,18.617,1873.1,34.6
-34.0174,18.6171,1878.3,35.7
-34.0176,18.6171,1883.4,35.7
-34.0177,18.6172,1888.5,37
-34.0177,18.6173,1893.8,37
-34.0178,18.6174,1898.2,35
-34.0179,18.6174,1903.3,34.7
-34.018,18.6175,1907.7,33.5
-34.0181,18.6176,1911.8,33.3
-34.0182,18.6177,1916.3,31.7
